ReservationID,GuestID,BookingTime,PartySize,Channel,TableID,Status,CheckInTime
R0001,G0001,11-07-2025 18:11,8,App,T18,No-Show,
R0002,G0002,11-07-2025 19:26,2,Kiosk,T07,Confirmed,11-07-2025 19:16
R0003,G0003,11-07-2025 21:00,3,Kiosk,T16,Confirmed,11-07-2025 20:59
R0004,G0004,11-07-2025 21:02,5,Web,T08,No-Show,
R0005,G0005,11-07-2025 20:07,2,Web,T02,Confirmed,11-07-2025 19:59
R0006,G0006,11-07-2025 20:08,2,App,T17,Confirmed,11-07-2025 20:06
R0007,G0007,11-07-2025 21:07,5,Kiosk,T01,Confirmed,11-07-2025 20:57
R0008,G0008,11-07-2025 21:39,3,Web,T02,Confirmed,11-07-2025 21:31
R0009,G0009,11-07-2025 19:52,1,App,T08,Confirmed,11-07-2025 19:43
R0010,G0010,11-07-2025 19:08,4,App,T13,Confirmed,11-07-2025 19:05
R0011,G0011,11-07-2025 20:19,6,Web,T02,Confirmed,11-07-2025 20:10
R0012,G0012,11-07-2025 20:44,2,Phone,T14,Confirmed,11-07-2025 20:43
R0013,G0013,11-07-2025 19:52,5,Kiosk,T07,Confirmed,11-07-2025 19:50
R0014,G0014,11-07-2025 19:22,5,Phone,T11,No-Show,
R0015,G0015,11-07-2025 19:27,6,Kiosk,T19,Confirmed,11-07-2025 19:25
R0016,G0016,11-07-2025 20:13,10,Kiosk,T17,Confirmed,11-07-2025 20:10
R0017,G0017,11-07-2025 20:05,5,Web,T15,Confirmed,11-07-2025 19:58
R0018,G0018,11-07-2025 20:36,7,App,T02,No-Show,
R0019,G0019,11-07-2025 19:37,2,Kiosk,T17,Confirmed,11-07-2025 19:37
R0020,G0020,11-07-2025 19:37,1,Web,T16,Cancelled,
R0021,G0021,11-07-2025 20:53,3,Web,T16,Confirmed,11-07-2025 20:46
R0022,G0022,11-07-2025 19:16,6,App,T20,Confirmed,11-07-2025 19:15
R0023,G0023,11-07-2025 18:32,1,App,T15,Confirmed,11-07-2025 18:22
R0024,G0024,11-07-2025 19:07,9,App,T11,Confirmed,11-07-2025 19:04
R0025,G0025,11-07-2025 18:39,9,App,T03,Confirmed,11-07-2025 18:35
R0026,G0026,11-07-2025 21:07,4,App,T02,Cancelled,
R0027,G0027,11-07-2025 20:09,1,App,T10,Confirmed,11-07-2025 20:03
R0028,G0028,11-07-2025 19:12,1,Web,T04,Confirmed,11-07-2025 19:04
R0029,G0029,11-07-2025 20:30,8,App,T10,No-Show,
R0030,G0030,11-07-2025 21:56,1,Phone,T08,Confirmed,11-07-2025 21:56
R0031,G0031,11-07-2025 19:47,8,Phone,T17,No-Show,
R0032,G0032,11-07-2025 21:24,2,App,T19,Confirmed,11-07-2025 21:18
R0033,G0033,11-07-2025 19:17,10,App,T16,Confirmed,11-07-2025 19:12
R0034,G0034,11-07-2025 20:56,8,Phone,T01,Confirmed,11-07-2025 20:48
R0035,G0035,11-07-2025 20:00,7,Phone,T12,Confirmed,11-07-2025 19:59
R0036,G0036,11-07-2025 20:09,2,App,T12,Confirmed,11-07-2025 20:00
R0037,G0037,11-07-2025 18:49,4,Phone,T09,Confirmed,11-07-2025 18:42
R0038,G0038,11-07-2025 18:05,8,Kiosk,T02,Confirmed,11-07-2025 18:04
R0039,G0039,11-07-2025 18:28,10,Kiosk,T19,Confirmed,11-07-2025 18:27
R0040,G0040,11-07-2025 20:20,4,Kiosk,T20,Confirmed,11-07-2025 20:15
R0041,G0041,11-07-2025 20:17,9,Kiosk,T06,Confirmed,11-07-2025 20:13
R0042,G0042,11-07-2025 21:23,8,Web,T17,Cancelled,
R0043,G0043,11-07-2025 19:43,4,Phone,T03,Confirmed,11-07-2025 19:41
R0044,G0044,11-07-2025 20:53,1,Phone,T13,Confirmed,11-07-2025 20:45
R0045,G0045,11-07-2025 20:18,3,Web,T01,Confirmed,11-07-2025 20:17
R0046,G0046,11-07-2025 20:56,9,Kiosk,T19,Confirmed,11-07-2025 20:55
R0047,G0047,11-07-2025 21:24,3,App,T10,No-Show,
R0048,G0048,11-07-2025 20:53,3,Kiosk,T17,Cancelled,
R0049,G0049,11-07-2025 18:10,4,Kiosk,T07,No-Show,
R0050,G0050,11-07-2025 18:09,1,Web,T20,Confirmed,11-07-2025 18:08
R0051,G0051,11-07-2025 20:40,7,Web,T06,No-Show,
R0052,G0052,11-07-2025 18:27,10,App,T14,Cancelled,
R0053,G0053,11-07-2025 18:44,4,Web,T17,Confirmed,11-07-2025 18:41
R0054,G0054,11-07-2025 20:31,8,Kiosk,T13,Confirmed,11-07-2025 20:26
R0055,G0055,11-07-2025 19:20,7,Phone,T02,Confirmed,11-07-2025 19:20
R0056,G0056,11-07-2025 19:56,1,Web,T04,Confirmed,11-07-2025 19:49
R0057,G0057,11-07-2025 19:14,3,Web,T19,Confirmed,11-07-2025 19:12
R0058,G0058,11-07-2025 18:52,6,App,T01,Confirmed,11-07-2025 18:50
R0059,G0059,11-07-2025 20:27,9,Phone,T17,Confirmed,11-07-2025 20:20
R0060,G0060,11-07-2025 18:58,9,Kiosk,T07,Confirmed,11-07-2025 18:55
R0061,G0061,11-07-2025 19:47,10,Phone,T10,Confirmed,11-07-2025 19:42
R0062,G0062,11-07-2025 19:34,9,Web,T05,No-Show,
R0063,G0063,11-07-2025 20:50,10,Kiosk,T02,No-Show,
R0064,G0064,11-07-2025 21:13,6,App,T08,Confirmed,11-07-2025 21:10
R0065,G0065,11-07-2025 21:05,10,Kiosk,T19,Confirmed,11-07-2025 20:59
R0066,G0066,11-07-2025 18:13,8,Kiosk,T18,Confirmed,11-07-2025 18:04
R0067,G0067,11-07-2025 20:25,1,Web,T04,Confirmed,11-07-2025 20:20
R0068,G0068,11-07-2025 21:57,4,Web,T07,No-Show,
R0069,G0069,11-07-2025 21:09,8,Kiosk,T02,Confirmed,11-07-2025 21:09
R0070,G0070,11-07-2025 21:08,5,App,T09,Confirmed,11-07-2025 21:08
R0071,G0071,11-07-2025 18:21,5,App,T11,No-Show,
R0072,G0072,11-07-2025 19:05,8,Web,T04,Confirmed,11-07-2025 18:57
