ReservationID,GuestID,BookingTime,PartySize,Channel,TableID,Status,CheckInTime
R00001,G2054,23-02-2025 17:34,4,Kiosk,T10,Confirmed,23-02-2025 17:28
R00002,G1690,01-02-2025 20:38,7,Phone,T11,Confirmed,01-02-2025 20:33
R00003,G0249,11-02-2025 22:36,8,Kiosk,T18,Cancelled,NULL
R00004,G2605,30-03-2025 22:01,5,Phone,T02,Confirmed,30-03-2025 22:01
R00005,G1099,27-01-2025 18:16,6,Web,T01,No-Show,NULL
R00006,G2496,21-06-2025 19:42,6,Web,T06,Confirmed,21-06-2025 19:32
R00007,G0185,03-01-2025 21:37,5,App,T04,Confirmed,03-01-2025 21:34
R00008,G0966,21-04-2025 11:05,6,Kiosk,T08,Confirmed,21-04-2025 11:02
R00009,G0896,08-06-2025 11:29,4,Kiosk,T20,Confirmed,08-06-2025 11:19
R00010,G2098,28-02-2025 12:49,8,App,T04,No-Show,NULL
R00011,G1163,15-06-2025 15:43,1,Kiosk,T19,No-Show,NULL
R00012,G0910,20-03-2025 20:43,5,App,T06,Confirmed,20-03-2025 20:34
R00013,G2913,31-03-2025 22:22,2,App,T01,Confirmed,31-03-2025 22:17
R00014,G2480,04-05-2025 12:29,3,Kiosk,T03,Cancelled,NULL
R00015,G2334,29-05-2025 15:39,6,Web,T10,Confirmed,29-05-2025 15:36
R00016,G2520,06-01-2025 15:24,3,Phone,T19,No-Show,NULL
R00017,G0068,21-06-2025 10:18,8,Phone,T07,No-Show,NULL
R00018,G2506,24-02-2025 22:36,8,Phone,T06,Confirmed,24-02-2025 22:27
R00019,G0905,03-06-2025 13:11,5,Phone,T14,Confirmed,03-06-2025 13:02
R00020,G1284,01-05-2025 17:11,3,App,T18,Confirmed,01-05-2025 17:07
R00021,G0705,27-03-2025 20:08,5,App,T18,Confirmed,27-03-2025 20:01
R00022,G1054,31-05-2025 10:28,6,Phone,T12,No-Show,NULL
R00023,G1441,15-02-2025 10:58,5,App,T16,Confirmed,15-02-2025 10:48
R00024,G1285,11-02-2025 21:37,7,Kiosk,T01,Confirmed,11-02-2025 21:36
R00025,G0323,19-02-2025 13:59,6,Web,T01,Confirmed,19-02-2025 13:52
R00026,G1941,03-05-2025 17:19,1,App,T09,Confirmed,03-05-2025 17:10
R00027,G2465,18-05-2025 13:21,4,Kiosk,T10,Confirmed,18-05-2025 13:16
R00028,G1192,26-03-2025 14:40,3,Kiosk,T03,Confirmed,26-03-2025 14:31
R00029,G1174,06-04-2025 18:56,8,Kiosk,T12,No-Show,NULL
R00030,G0968,14-04-2025 21:41,7,Web,T08,No-Show,NULL
R00031,G2489,13-01-2025 22:32,6,Kiosk,T15,Confirmed,13-01-2025 22:31
R00032,G0789,02-02-2025 13:01,7,Phone,T13,No-Show,NULL
R00033,G0711,09-05-2025 18:07,8,Kiosk,T20,No-Show,NULL
R00034,G2782,03-03-2025 10:43,6,Kiosk,T19,No-Show,NULL
R00035,G1353,27-04-2025 17:31,7,Web,T18,Confirmed,27-04-2025 17:21
R00036,G1584,22-01-2025 12:12,7,Kiosk,T06,Confirmed,22-01-2025 12:07
R00037,G0660,15-04-2025 22:08,6,Phone,T12,Confirmed,15-04-2025 22:02
R00038,G0601,04-01-2025 17:19,4,Phone,T18,Confirmed,04-01-2025 17:19
R00039,G1299,24-04-2025 10:17,7,Web,T20,No-Show,NULL
R00040,G1209,11-02-2025 20:00,3,Web,T13,Confirmed,11-02-2025 19:56
R00041,G1650,15-03-2025 22:13,4,Phone,T19,Confirmed,15-03-2025 22:08
R00042,G2287,05-06-2025 17:30,2,Phone,T06,Confirmed,05-06-2025 17:27
R00043,G2784,09-04-2025 11:27,6,Web,T04,Confirmed,09-04-2025 11:26
R00044,G1402,17-05-2025 10:01,7,Phone,T20,Confirmed,17-05-2025 09:52
R00045,G0695,13-01-2025 12:00,3,Web,T14,No-Show,NULL
R00046,G0712,14-06-2025 21:42,5,Web,T17,Confirmed,14-06-2025 21:41
R00047,G0742,10-03-2025 13:53,8,Phone,T03,No-Show,NULL
R00048,G1206,30-01-2025 22:34,1,Kiosk,T02,Confirmed,30-01-2025 22:33
R00049,G2970,14-01-2025 17:48,3,Web,T07,Confirmed,14-01-2025 17:46
R00050,G0744,10-04-2025 17:38,1,App,T13,No-Show,NULL
R00051,G2062,12-06-2025 15:29,2,Web,T12,No-Show,NULL
R00052,G2807,13-04-2025 14:48,6,Web,T19,No-Show,NULL
R00053,G0936,13-02-2025 17:38,2,App,T13,Confirmed,13-02-2025 17:31
R00054,G2498,04-06-2025 21:45,1,Web,T07,No-Show,NULL
R00055,G1323,28-05-2025 10:53,5,Phone,T13,Confirmed,28-05-2025 10:52
R00056,G0369,22-04-2025 10:14,1,App,T07,Confirmed,22-04-2025 10:06
R00057,G0235,06-05-2025 22:43,1,App,T17,Confirmed,06-05-2025 22:41
